date,NY,SF
01/01/2023,8.1,11.7
02/01/2023,7.5,8.8
03/01/2023,10.2,9.7
04/01/2023,13,12.2
05/01/2023,10.9,12.5
06/01/2023,5.9,12.6
07/01/2023,3.4,12.7
08/01/2023,0.8,13.7
09/01/2023,3.2,12.9
10/01/2023,2.7,12.2
11/01/2023,0.9,12.3
12/01/2023,6.4,15.3
13/01/2023,8.7,13.5
14/01/2023,1.1,12.7
15/01/2023,0.7,10.3
16/01/2023,1.4,10.3
17/01/2023,2.5,8.3
18/01/2023,6.4,9.6
19/01/2023,4.3,8.7
20/01/2023,5.7,8.7
21/01/2023,2.5,7.3
22/01/2023,2.2,10.2
23/01/2023,2.8,11.1
24/01/2023,1.9,10.8
25/01/2023,3.1,11.5
26/01/2023,6.8,14.6
27/01/2023,1.8,8.7
28/01/2023,5.6,8.7
29/01/2023,8.2,8.9
30/01/2023,8.3,7.5
31/01/2023,3.8,7.4
01/02/2023,1.3,7.4
02/02/2023,1.9,9.4
03/02/2023,-3.3,11
04/02/2023,-7.9,11.8
05/02/2023,3.7,10.8
06/02/2023,6.5,9.4
07/02/2023,3.1,9.2
08/02/2023,7.8,10.2
09/02/2023,7.9,10
10/02/2023,12.6,9.4
11/02/2023,5.9,9.7
12/02/2023,5.2,9.8
13/02/2023,9.1,10.1
14/02/2023,8.9,9.1
15/02/2023,12.4,9.1
16/02/2023,13.3,7.2
17/02/2023,9.5,9.1
18/02/2023,2.7,9.1
19/02/2023,5.7,9.5
20/02/2023,10.4,11
21/02/2023,6,10
22/02/2023,4.7,7.7
23/02/2023,4.8,7.1
24/02/2023,4.8,6.4
25/02/2023,-1.4,7.1
26/02/2023,3.9,8.7
27/02/2023,3.7,7
28/02/2023,2.3,8
01/03/2023,4.8,8.5
02/03/2023,7,9
03/03/2023,5.2,8.8
04/03/2023,5.9,9.3
05/03/2023,7.5,9.1
06/03/2023,8.3,8.6
07/03/2023,4.8,8.9
08/03/2023,4.4,9.1
09/03/2023,6,9.3
10/03/2023,5.3,11.3
11/03/2023,4.8,11.8
12/03/2023,4.8,13
13/03/2023,4.9,14.5
14/03/2023,2.1,13.4
15/03/2023,2.9,9.9
16/03/2023,5.3,9.9
17/03/2023,8.6,11.6
18/03/2023,9.3,12.9
19/03/2023,2.9,12.2
20/03/2023,5.2,10.8
21/03/2023,10.1,9.3
22/03/2023,10.2,11.1
23/03/2023,11.3,11.3
24/03/2023,9.6,10.2
25/03/2023,6.6,9.8
26/03/2023,11.4,9.4
27/03/2023,10.1,9.2
28/03/2023,8.5,10.3
29/03/2023,8.1,8.9
