Common Name,Scientific Name,Phylum,Class,Order
African Elephant,Loxodonta africana,Chordata,Mammalia,Proboscidea
Domestic Dog,Canis lupus familiaris,Chordata,Mammalia,Carnivora
Human,Homo sapiens,Chordata,Mammalia,Primates
Domestic Cat,Felis catus,Chordata,Mammalia,Carnivora
Blue Whale,Balaenoptera musculus,Chordata,Mammalia,Artiodactyla
Little Brown Bat,Myotis lucifugus,Chordata,Mammalia,Chiroptera
House Mouse,Mus musculus,Chordata,Mammalia,Rodentia
Red Kangaroo,Osphranter rufus,Chordata,Mammalia,Diprotodontia
Platypus,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata
Bald Eagle,Haliaeetus leucocephalus,Chordata,Aves,Accipitriformes
