Common Name,Scientific Name,Phylum,Class,Order,Image URL
African Elephant,Loxodonta africana,Chordata,Mammalia,Proboscidea,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/African_elephant_high_resolution.jpg/120px-African_elephant_high_resolution.jpg
Domestic Dog,Canis lupus familiaris,Chordata,Mammalia,Carnivora,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Collage_of_Nine_Dogs.jpg/120px-Collage_of_Nine_Dogs.jpg
Human,Homo sapiens,Chordata,Mammalia,Primates,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Homo_sapiens_-_Skull.jpg/120px-Homo_sapiens_-_Skull.jpg
Domestic Cat,Felis catus,Chordata,Mammalia,Carnivora,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Cat03.jpg/120px-Cat03.jpg
Blue Whale,Balaenoptera musculus,Chordata,Mammalia,Artiodactyla,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Anim1754_-_Flickr_-_NOAA_Photo_Library.jpg
Little Brown Bat,Myotis lucifugus,Chordata,Mammalia,Chiroptera,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Myotis_lucifugus_%28Vermont%29.jpg/120px-Myotis_lucifugus_%28Vermont%29.jpg
House Mouse,Mus musculus,Chordata,Mammalia,Rodentia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/House_mouse.jpg/120px-House_mouse.jpg
Red Kangaroo,Osphranter rufus,Chordata,Mammalia,Diprotodontia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/RedRoo.JPG/120px-RedRoo.JPG
Platypus,Ornithorhynchus anatinus,Chordata,Mammalia,Monotremata,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Ornithorhynchus_anatinus_-_Taronga_Zoo.jpg/120px-Ornithorhynchus_anatinus_-_Taronga_Zoo.jpg
Bald Eagle,Haliaeetus leucocephalus,Chordata,Aves,Accipitriformes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Haliaeetus_leucocephalus_-Alaska_-USA_-flying-8.jpg/120px-Haliaeetus_leucocephalus_-Alaska_-USA_-flying-8.jpg
Emperor Penguin,Aptenodytes forsteri,Chordata,Aves,Sphenisciformes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Emperor_Penguin_Manchot_empereur.jpg/120px-Emperor_Penguin_Manchot_empereur.jpg
Common Ostrich,Struthio camelus,Chordata,Aves,Struthioniformes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Common_ostrich_%28Struthio_camelus%29_female_head.jpg/120px-Common_ostrich_%28Struthio_camelus%29_female_head.jpg
Green Sea Turtle,Chelonia mydas,Chordata,Reptilia,Testudines,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Green_turtle_swimming_over_coral_reefs_in_Kona.jpg/120px-Green_turtle_swimming_over_coral_reefs_in_Kona.jpg
Komodo Dragon,Varanus komodoensis,Chordata,Reptilia,Squamata,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Komodo_dragon_with_tongue.jpg/120px-Komodo_dragon_with_tongue.jpg
American Alligator,Alligator mississippiensis,Chordata,Reptilia,Crocodylia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Alligator_mississippiensis.jpg/120px-Alligator_mississippiensis.jpg
King Cobra,Ophiophagus hannah,Chordata,Reptilia,Squamata,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/King_Cobra_PICS.jpg/120px-King_Cobra_PICS.jpg
Axolotl,Ambystoma mexicanum,Chordata,Amphibia,Urodela,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Ambystoma_mexicanum_1.jpg/120px-Ambystoma_mexicanum_1.jpg
American Bullfrog,Lithobates catesbeianus,Chordata,Amphibia,Anura,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/American_bullfrog1.jpg/120px-American_bullfrog1.jpg
Great White Shark,Carcharodon carcharias,Chordata,Chondrichthyes,Lamniformes,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/White_shark.jpg/120px-White_shark.jpg
Clownfish,Amphiprion ocellaris,Chordata,Actinopterygii,Perciformes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Amphiprion_ocellaris_%28clownfish%29.jpg/120px-Amphiprion_ocellaris_%28clownfish%29.jpg
Atlantic Salmon,Salmo salar,Chordata,Actinopterygii,Salmoniformes,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Salmo_salar.jpg/120px-Salmo_salar.jpg
European Eel,Anguilla anguilla,Chordata,Actinopterygii,Anguilliformes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Anguilla_anguilla.jpg/120px-Anguilla_anguilla.jpg
Monarch Butterfly,Danaus plexippus,Arthropoda,Insecta,Lepidoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Danaus_plexippus_MHNT_CUT_2013_3_17_Mount_Joy.jpg/120px-Danaus_plexippus_MHNT_CUT_2013_3_17_Mount_Joy.jpg
Honey Bee,Apis mellifera,Arthropoda,Insecta,Hymenoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Apis_mellifera_Western_honey_bee.jpg/120px-Apis_mellifera_Western_honey_bee.jpg
Dragonfly,Anax imperator,Arthropoda,Insecta,Odonata,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Anax_imperator_female.jpg/120px-Anax_imperator_female.jpg
Giant African Millipede,Archispirostreptus gigas,Arthropoda,Diplopoda,Spirostreptida,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/African_Giant_Black_Millipede_2.jpg/120px-African_Giant_Black_Millipede_2.jpg
Common Octopus,Octopus vulgaris,Mollusca,Cephalopoda,Octopoda,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Octopus_vulgaris.jpg/120px-Octopus_vulgaris.jpg
Blue Mussel,Mytilus edulis,Mollusca,Bivalvia,Mytilida,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Mytilus_edulis.jpg/120px-Mytilus_edulis.jpg
Garden Snail,Cornu aspersum,Mollusca,Gastropoda,Stylommatophora,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Garden_snail_2009_G1.jpg/120px-Garden_snail_2009_G1.jpg
Giant Clam,Tridacna gigas,Mollusca,Bivalvia,Veneroida,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Tridacna_gigas.jpg/120px-Tridacna_gigas.jpg
Earthworm,Lumbricus terrestris,Annelida,Clitellata,Haplotaxida,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Lumbricus_terrestris.jpg/120px-Lumbricus_terrestris.jpg
Leech,Hirudo medicinalis,Annelida,Clitellata,Arhynchobdellida,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Hirudo_medicinalis.jpg/120px-Hirudo_medicinalis.jpg
Starfish,Astropecten articulatus,Echinodermata,Asteroidea,Paxillosida,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Astropecten_articulatus.jpg/120px-Astropecten_articulatus.jpg
Sea Urchin,Strongylocentrotus purpuratus,Echinodermata,Echinoidea,Temnopleuroida,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Strongylocentrotus_purpuratus.jpg/120px-Strongylocentrotus_purpuratus.jpg
