"date","close","volume","open","high","low"
"16:00","1,493.45","6,835,230","1,512.23","1,518.49","1,465"
"2018/03/01","1493.4500","6820462.0000","1513.6000","1518.4900","1465.0000"
"2018/02/28","1512.4500","4498688.0000","1519.5100","1528.7000","1512.0000"
"2018/02/27","1511.9800","4791167.0000","1524.5000","1526.7800","1507.2100"
"2018/02/26","1521.9500","4944679.0000","1509.2000","1522.8400","1507.0000"
"2018/02/23","1500.0000","4395443.0000","1495.3400","1500.0000","1486.5000"
"2018/02/22","1485.3400","4806267.0000","1495.3600","1502.5400","1475.7600"
"2018/02/21","1482.9200","6270085.0000","1485.0000","1503.4900","1478.9200"
"2018/02/20","1468.3500","6473520.0000","1446.4900","1488.7700","1446.4900"
"2018/02/16","1448.6900","4464048.0000","1457.3700","1465.8000","1446.5600"
"2018/02/15","1461.7600","5634873.0000","1466.8900","1468.9400","1436.8367"
"2018/02/14","1451.0500","5940392.0000","1406.2500","1452.0600","1403.3600"
"2018/02/13","1414.5100","5880823.0000","1385.9300","1419.7200","1383.5300"
"2018/02/12","1386.2300","6718037.0000","1364.6700","1393.8100","1344.0100"
"2018/02/09","1339.6000","14128670.0000","1373.4900","1383.5000","1265.9300"
"2018/02/08","1350.5000","8496355.0000","1429.6750","1433.7522","1349.9400"
"2018/02/07","1416.7800","7126128.0000","1449.0000","1460.9900","1415.1500"
"2018/02/06","1442.8400","10937550.0000","1361.4600","1443.9900","1351.7900"
"2018/02/05","1390.0000","11422520.0000","1402.6200","1458.9800","1320.7200"
"2018/02/02","1429.9500","11014340.0000","1477.3900","1498.0000","1414.0000"
"2018/02/01","1390.0000","8985040.0000","1445.0000","1459.8799","1385.1419"
"2018/01/31","1450.8900","6386185.0000","1451.3000","1472.5800","1450.0400"
"2018/01/30","1437.8200","5802415.0000","1403.1700","1439.2500","1392.0000"
"2018/01/29","1417.6800","5690168.0000","1409.1800","1431.3900","1400.4400"
"2018/01/26","1402.0500","4825682.0000","1392.0100","1402.5300","1380.9100"
"2018/01/25","1377.9500","4741473.0000","1368.0000","1378.3400","1357.6200"
"2018/01/24","1357.5100","6781297.0000","1374.8200","1388.1600","1338.0000"
"2018/01/23","1362.5400","5130673.0000","1338.0900","1364.9000","1337.3400"
"2018/01/22","1327.3100","4126235.0000","1297.1700","1327.4500","1296.6636"
"2018/01/19","1294.5800","4455108.0000","1312.0000","1313.0000","1292.9900"
"2018/01/18","1293.3200","4021640.0000","1293.9500","1304.6000","1284.0200"
"2018/01/17","1295.0000","5240634.0000","1312.2400","1314.0000","1280.8800"
"2018/01/16","1304.8600","7155026.0000","1323.0000","1339.9400","1292.3000"
"2018/01/12","1305.2000","5434547.0000","1273.3925","1305.7600","1273.3925"
"2018/01/11","1276.6800","3104031.0000","1259.7400","1276.7700","1256.4600"
"2018/01/10","1254.3300","2679832.0000","1245.1500","1254.3300","1237.2300"
"2018/01/09","1252.7000","3657243.0000","1256.9000","1259.3300","1241.7600"
"2018/01/08","1246.8700","4270121.0000","1236.0000","1253.0790","1232.0300"
"2018/01/05","1229.1400","3536299.0000","1217.5100","1229.1400","1210.0000"
"2018/01/04","1209.5900","3015997.0000","1205.0000","1215.8699","1204.6600"
"2018/01/03","1204.2000","3094175.0000","1188.3000","1205.4900","1188.3000"
"2018/01/02","1189.0100","2673958.0000","1172.0000","1190.0000","1170.5100"
"2017/12/29","1169.4700","2678122.0000","1182.3500","1184.0000","1167.5000"
"2017/12/28","1186.1000","1838549.0000","1189.0000","1190.1000","1184.3800"
"2017/12/27","1182.2600","1866171.0000","1179.9100","1187.2900","1175.6100"
"2017/12/26","1176.7600","1988906.0000","1168.3600","1178.3200","1160.5500"
"2017/12/22","1168.3600","1575845.0000","1172.0800","1174.6199","1167.8301"
"2017/12/21","1174.7600","2055103.0000","1175.9000","1179.1700","1167.6400"
"2017/12/20","1177.6200","2364984.0000","1190.5000","1191.0000","1176.0000"
"2017/12/19","1187.3800","2574578.0000","1189.1500","1192.9700","1179.1401"
"2017/12/18","1190.5800","2943252.0000","1187.3700","1194.7800","1180.9100"
"2017/12/15","1179.1400","4775009.0000","1179.0300","1182.7500","1169.3300"
"2017/12/14","1174.2600","3120265.0000","1163.7100","1177.9300","1162.4500"
"2017/12/13","1164.1300","2588740.0000","1170.0000","1170.8700","1160.2700"
"2017/12/12","1165.0800","2208812.0000","1166.5100","1173.6000","1161.6100"
"2017/12/11","1168.9200","2360068.0000","1164.6000","1169.9000","1157.0000"
"2017/12/08","1162.0000","2979278.0000","1170.4000","1172.7900","1157.1000"
"2017/12/07","1159.7900","2508813.0000","1156.5900","1163.1900","1151.0000"
"2017/12/06","1152.3500","2777524.0000","1137.9900","1155.8900","1136.0800"
"2017/12/05","1141.5700","4074846.0000","1128.2600","1159.2700","1124.7400"
"2017/12/04","1133.9500","5926970.0000","1173.8500","1175.2000","1128.0000"
"2017/12/01","1162.3500","4101175.0000","1172.0500","1179.6500","1152.0000"
"2017/11/30","1176.7500","4472454.0000","1167.1000","1178.5701","1160.0000"
