"date","close","volume","open","high","low"
"16:00","42.27","8,021,083","43.01","43.11","42.05"
"2018/03/01","42.2700","8028894.0000","43.0100","43.1100","42.0500"
"2018/02/28","42.8600","8534243.0000","43.2200","43.4200","42.8500"
"2018/02/27","43.1500","9226634.0000","43.8200","43.9500","43.1300"
"2018/02/26","43.8300","6402486.0000","43.8000","44.3600","43.6500"
"2018/02/23","43.6800","11158400.0000","43.2700","43.7850","42.8150"
"2018/02/22","42.8300","9546772.0000","43.1600","43.5100","42.6200"
"2018/02/21","43.1200","9926620.0000","43.5200","43.7000","43.0600"
"2018/02/20","43.3900","10926790.0000","43.1100","43.7900","43.0100"
"2018/02/16","43.3400","9396171.0000","43.1600","43.6400","42.9100"
"2018/02/15","43.0100","10363890.0000","42.6800","43.2550","42.2300"
"2018/02/14","42.4400","9923473.0000","41.8300","42.6700","41.7500"
"2018/02/13","42.1500","10136400.0000","41.9900","42.7800","41.9000"
"2018/02/12","42.3200","11636890.0000","41.9500","42.6400","41.6400"
"2018/02/09","41.6600","15696160.0000","41.5000","41.9800","40.4300"
"2018/02/08","41.0200","14841420.0000","42.5000","42.9500","41.0100"
"2018/02/07","42.3300","11328720.0000","42.6700","43.1200","42.2300"
"2018/02/06","42.7900","18464420.0000","41.7200","43.1000","41.7200"
"2018/02/05","42.3700","19036000.0000","44.0200","44.4500","42.2400"
"2018/02/02","44.3000","18719400.0000","45.1600","46.2400","44.2300"
"2018/02/01","46.1900","33174210.0000","45.5000","46.9900","45.2100"
"2018/01/31","40.5800","13803330.0000","40.4800","41.1000","40.3600"
"2018/01/30","40.4000","8912566.0000","40.7200","41.3400","40.1900"
"2018/01/29","40.8000","6357521.0000","40.5900","41.0700","40.5700"
"2018/01/26","40.8900","8509954.0000","40.3100","40.9100","39.9200"
"2018/01/25","40.0200","9068634.0000","39.9300","40.4100","39.8600"
"2018/01/24","39.8200","10713820.0000","39.9700","40.7100","39.6900"
"2018/01/23","39.7700","6825502.0000","39.5900","39.8900","39.1300"
"2018/01/22","39.5800","9748999.0000","38.3600","39.7300","38.3300"
"2018/01/19","38.4300","12543620.0000","38.7500","39.0200","38.2000"
"2018/01/18","38.7400","11055520.0000","38.2100","38.9400","38.1300"
"2018/01/17","37.9900","12021960.0000","38.0000","38.3100","37.7500"
"2018/01/16","37.6800","10521840.0000","38.0700","38.2500","37.3800"
"2018/01/12","38.0200","11943450.0000","38.0000","38.2700","37.9000"
"2018/01/11","37.8100","10442360.0000","37.8400","37.9400","37.4600"
"2018/01/10","37.7000","17411660.0000","38.8700","39.0200","37.5500"
"2018/01/09","39.5300","6213842.0000","40.1000","40.1300","39.4800"
"2018/01/08","39.8000","9713722.0000","39.5500","40.0800","39.4400"
"2018/01/05","39.6900","7289517.0000","38.8500","39.8350","38.8100"
"2018/01/04","38.5700","8958366.0000","39.4200","39.7729","38.4700"
"2018/01/03","39.2200","9134423.0000","37.9900","39.2800","37.9000"
"2018/01/02","38.0600","6759495.0000","38.1700","38.3600","37.9200"
"2017/12/29","37.7400","4582409.0000","37.8200","38.0300","37.6500"
"2017/12/28","37.9200","3398869.0000","37.4600","37.9300","37.4501"
"2017/12/27","37.6100","4244080.0000","38.0700","38.0800","37.5600"
"2017/12/26","37.9400","4536916.0000","37.7900","38.0100","37.6050"
"2017/12/22","37.7600","7539449.0000","37.6900","37.9050","37.5300"
"2017/12/21","37.8100","9619687.0000","38.1100","38.2400","37.7700"
"2017/12/20","37.9300","6551496.0000","37.8700","38.1000","37.7450"
"2017/12/19","37.8000","7835262.0000","38.1500","38.2300","37.7200"
"2017/12/18","38.1800","8092017.0000","38.5000","38.6600","38.1200"
"2017/12/15","38.3700","16290660.0000","37.7200","38.4200","37.3900"
"2017/12/14","37.6000","5411603.0000","37.4100","37.7700","37.4100"
"2017/12/13","37.4000","5901802.0000","37.4600","37.6400","37.3300"
"2017/12/12","37.4400","6313959.0000","37.4400","37.4900","37.1000"
"2017/12/11","37.5200","6554723.0000","37.5100","37.6900","37.3200"
"2017/12/08","37.6500","12317100.0000","37.2500","37.9900","37.1600"
"2017/12/07","36.8500","7625135.0000","36.7200","37.1500","36.5000"
"2017/12/06","36.8300","8995603.0000","36.6400","36.9100","36.3600"
"2017/12/05","36.8100","19259490.0000","35.9400","37.1900","35.7500"
"2017/12/04","35.7000","11130180.0000","35.5800","36.0800","35.3800"
"2017/12/01","35.2000","11510200.0000","34.3800","35.2500","34.3100"
"2017/11/30","34.6700","16394410.0000","34.4800","35.1900","34.4612"
"2017/11/29","34.3800","22034650.0000","35.4200","35.4500","33.9450"
"2017/11/28","35.5000","11328480.0000","35.9900","36.2000","35.4200"
"2017/11/27","35.9900","7095924.0000","35.8800","36.2000","35.7905"
"2017/11/24","35.8400","3123070.0000","36.0700","36.1100","35.7000"
"2017/11/22","35.9400","4576174.0000","36.0500","36.1950","35.8400"
"2017/11/21","35.9600","5888580.0000","35.7200","36.1100","35.5600"
"2017/11/20","35.5300","5981720.0000","35.6200","35.9700","35.4200"
"2017/11/17","35.5800","7530345.0000","35.6400","35.7100","35.3100"
"2017/11/16","35.6200","7661490.0000","35.3700","35.8150","35.3200"
"2017/11/15","35.3000","7969855.0000","35.0300","35.4700","34.7900"
"2017/11/14","35.2200","11456830.0000","35.7100","35.7900","35.1800"
"2017/11/13","35.8500","7268421.0000","35.7000","36.1000","35.3200"
"2017/11/10","35.9700","8329662.0000","35.5100","36.0450","35.3400"
"2017/11/09","35.6900","16991690.0000","36.2600","36.3600","35.2100"
"2017/11/08","37.0100","7079350.0000","37.3000","37.3700","36.9400"
