"date","close","volume","open","high","low"
"16:00","49.71","16,508,308","50.96","50.96","49.415"
"2018/03/01","49.7100","16528270.0000","50.9600","50.9600","49.4150"
"2018/02/28","50.6700","14713960.0000","51.0600","51.5000","50.6700"
"2018/02/27","50.7300","14339360.0000","51.0700","51.4000","50.5350"
"2018/02/26","51.1700","12817580.0000","50.5900","51.2600","50.5000"
"2018/02/23","50.5000","8866632.0000","49.7900","50.5700","49.6200"
"2018/02/22","49.5900","9364594.0000","49.5900","50.0550","49.4050"
"2018/02/21","49.4300","12920240.0000","49.8700","50.3400","49.4300"
"2018/02/20","49.8900","14144210.0000","50.2000","50.3100","49.6550"
"2018/02/16","50.7100","11098600.0000","50.5500","51.1400","50.4900"
"2018/02/15","50.6400","13827120.0000","49.7000","50.6850","49.4300"
"2018/02/14","49.4500","14262950.0000","48.1900","49.5200","48.1400"
"2018/02/13","48.4900","12363240.0000","48.0100","48.6800","47.7700"
"2018/02/12","48.1500","16228450.0000","48.2200","48.4868","47.7200"
"2018/02/09","47.7300","23168700.0000","47.5800","48.1504","45.9200"
"2018/02/08","46.8400","20720960.0000","49.0900","49.1200","46.8100"
"2018/02/07","48.8700","14934060.0000","49.2000","49.8500","48.8200"
"2018/02/06","49.4000","25860560.0000","47.3300","49.5100","46.8101"
"2018/02/05","48.0900","19542550.0000","50.0400","50.7000","48.0600"
"2018/02/02","50.1300","17130230.0000","51.2500","51.4100","50.0400"
"2018/02/01","51.6300","11654840.0000","51.3600","51.9800","51.2600"
"2018/01/31","51.5900","16806830.0000","50.8600","51.8450","50.8600"
"2018/01/30","50.9600","16735260.0000","51.7400","51.9900","50.7450"
"2018/01/29","51.9400","12222630.0000","52.6700","52.7900","51.8800"
"2018/01/26","52.7500","13897740.0000","51.8600","52.7500","51.7600"
"2018/01/25","51.6000","13896650.0000","51.5400","52.0450","51.5400"
"2018/01/24","51.4500","17238760.0000","51.3600","52.0000","51.2100"
"2018/01/23","51.1200","14072660.0000","50.7500","51.2700","50.5700"
"2018/01/22","50.7100","16568800.0000","50.4300","50.7400","50.2700"
"2018/01/19","50.5800","13996850.0000","50.5000","50.6000","50.2700"
"2018/01/18","50.2300","15968350.0000","50.1900","50.6800","50.1000"
"2018/01/17","50.2700","23142190.0000","49.9100","50.2900","49.8500"
"2018/01/16","49.5900","17119680.0000","49.8500","50.0600","49.4400"
"2018/01/12","49.5100","15970000.0000","49.1800","49.8250","49.0600"
"2018/01/11","48.9500","11686970.0000","48.8700","49.0200","48.4400"
"2018/01/10","48.8000","13475240.0000","48.8600","49.2700","48.5800"
"2018/01/09","49.0600","14153660.0000","49.2500","49.3600","48.9200"
"2018/01/08","48.9800","15067600.0000","48.3000","49.0700","47.9400"
"2018/01/05","48.4700","14495990.0000","48.4200","48.6300","48.2800"
"2018/01/04","48.1800","19803950.0000","47.9900","48.1900","47.7150"
