"date","close","volume","open","high","low"
"16:00","27.91","4,275,422","28.27","28.33","27.76"
"2018/03/01","27.9100","4278261.0000","28.2700","28.3300","27.7600"
"2018/02/28","28.3100","2196043.0000","28.5600","28.6500","28.3100"
"2018/02/27","28.5800","2300274.0000","28.7800","28.9000","28.5700"
"2018/02/26","29.1300","1928278.0000","29.0700","29.1790","28.9140"
"2018/02/23","28.9600","2769319.0000","28.8200","29.0050","28.6800"
"2018/02/22","28.3600","2286715.0000","28.2500","28.5000","28.2300"
"2018/02/21","28.2500","3938129.0000","28.7800","28.8200","28.2400"
"2018/02/20","28.6500","3429876.0000","28.9400","28.9750","28.5801"
"2018/02/16","28.9800","3070763.0000","28.9100","29.2500","28.9000"
"2018/02/15","28.7500","2857600.0000","28.6400","28.8000","28.4200"
"2018/02/14","28.4700","3739945.0000","28.1200","28.5400","28.0441"
"2018/02/13","28.3200","3927136.0000","28.3000","28.3500","28.1600"
"2018/02/12","28.4500","4570369.0000","28.5900","28.6700","28.2650"
"2018/02/09","28.5400","8580655.0000","28.4700","28.6900","27.8700"
"2018/02/08","28.4000","7895827.0000","29.5000","29.5300","28.3900"
"2018/02/07","29.3900","6541769.0000","29.3800","29.7000","29.2400"
"2018/02/06","29.6200","10301550.0000","28.8100","29.6900","28.6700"
"2018/02/05","29.1100","9407716.0000","29.9600","30.0300","29.0400"
"2018/02/02","31.0500","7951879.0000","30.7100","31.8400","30.3200"
"2018/02/01","30.8100","6270766.0000","30.8700","30.9000","30.4700"
"2018/01/31","32.2200","2304569.0000","32.1400","32.2969","32.0200"
"2018/01/30","32.0600","2195270.0000","32.1400","32.2200","31.9800"
"2018/01/29","32.0900","1765218.0000","32.1300","32.2100","32.0300"
"2018/01/26","32.4000","1821352.0000","32.3700","32.4100","32.2300"
"2018/01/25","32.2000","2229148.0000","32.7300","32.7500","32.1300"
"2018/01/24","32.3700","2318073.0000","32.5400","32.6000","32.2789"
"2018/01/23","32.3200","2278919.0000","32.2900","32.4100","32.1500"
"2018/01/22","32.1600","2679796.0000","31.9800","32.1700","31.9700"
"2018/01/19","31.5800","2934361.0000","31.6700","31.7900","31.4900"
"2018/01/18","31.5800","6603568.0000","31.5600","31.8200","31.4800"
"2018/01/17","31.3200","11249020.0000","31.9700","32.0000","31.2800"
"2018/01/16","32.3300","3375047.0000","32.1600","32.3800","32.1500"
"2018/01/12","31.9300","2897405.0000","31.7300","31.9400","31.6900"
"2018/01/11","31.4400","3305337.0000","30.9700","31.4600","30.9100"
"2018/01/10","31.6500","3677180.0000","32.1500","32.1600","31.6400"
"2018/01/09","32.6000","1969905.0000","32.5300","32.6300","32.4300"
"2018/01/08","32.6700","2622473.0000","32.6700","32.7500","32.5300"
"2018/01/05","32.5800","1978590.0000","32.4400","32.6200","32.3600"
