YEKT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events
2007-1-1,8,-2,-11,7,-3,-15,92,88,84,29.98,29.93,29.83,7,4,2,20,11,,0.00,7,Snow
2007-1-2,33,20,8,32,21,7,100,96,92,29.83,29.82,29.77,6,3,1,22,9,29,0.00,8,Snow
2007-1-3,33,32,32,34,32,32,100,96,93,29.77,29.75,29.68,7,4,1,20,17,25,0.00,8,Rain-Snow
2007-1-4,33,33,32,34,34,30,100,98,93,30.01,29.91,29.77,7,6,2,20,15,25,0.00,8,Rain-Snow
2007-1-5,32,28,24,30,30,25,100,96,93,30.01,29.91,29.83,7,4,1,13,9,,0.00,8,Snow
2007-1-6,26,25,24,27,25,23,100,99,86,29.98,29.90,29.86,7,6,3,16,11,,0.00,8,Snow
2007-1-7,26,26,26,27,24,23,100,92,86,29.95,29.95,29.92,7,6,0,20,16,,0.00,7,Snow
2007-1-8,26,26,26,27,27,25,100,98,93,29.95,29.93,29.92,7,5,1,11,8,,0.00,8,Snow
2007-1-9,26,25,24,27,25,25,100,97,93,30.04,29.94,29.92,5,4,1,16,5,,0.00,8,Snow
2007-1-10,26,25,24,27,26,23,100,98,93,30.06,30.02,29.89,7,6,3,16,8,,0.00,8,Snow
2007-1-11,35,30,26,34,27,25,100,95,87,29.83,29.65,29.56,7,4,1,29,20,29,0.00,8,Snow
2007-1-12,35,34,33,34,34,32,100,95,93,29.53,29.34,29.27,7,6,3,27,19,36,0.00,7,Rain-Snow
2007-1-13,33,33,33,34,34,34,100,100,100,29.62,29.52,29.42,7,6,2,22,18,29,0.00,8,Rain-Snow
2007-1-14,33,32,32,34,34,30,100,99,93,29.77,29.67,29.62,7,6,1,13,8,,0.00,8,Rain-Snow
2007-1-15,32,30,28,32,30,28,100,97,93,29.74,29.74,29.68,7,4,1,9,7,,0.00,8,Snow
2007-1-16,33,32,30,32,30,28,100,99,87,29.68,29.66,29.62,7,5,2,11,6,,0.00,8,Snow
2007-1-17,32,31,30,32,29,28,100,94,87,29.68,29.67,29.56,7,6,4,16,7,,0.00,8,Snow
2007-1-18,30,27,24,28,28,25,100,93,86,29.56,29.50,29.44,7,5,1,13,10,18,0.00,8,Snow
2007-1-19,33,27,21,34,24,21,100,90,80,29.56,29.36,29.24,7,5,1,22,11,31,0.00,5,Rain-Snow
2007-1-20,39,36,33,36,34,27,100,87,70,29.44,29.34,29.24,7,5,2,27,24,34,0.00,8,Rain-Snow
2007-1-21,35,32,28,30,28,25,93,85,70,29.44,29.40,29.39,7,6,1,25,12,27,0.00,8,Rain-Snow
2007-1-22,32,29,26,32,23,21,100,88,74,29.50,29.49,29.44,7,5,1,22,15,25,0.00,8,Snow
2007-1-23,32,22,8,32,21,7,100,100,92,29.62,29.51,29.44,7,4,1,16,12,,0.00,8,Snow
2007-1-24,6,0,-5,5,-2,-8,92,88,85,30.24,29.97,29.65,7,4,1,11,9,16,0.00,7,Snow
2007-1-25,5,-6,-14,3,-8,-18,92,88,84,30.30,30.18,29.83,7,4,2,9,6,,0.00,7,Snow
2007-1-26,12,8,3,9,7,0,92,85,79,29.89,29.77,29.68,7,4,1,20,13,29,0.00,8,Snow
2007-1-27,3,-1,-5,0,-4,-9,92,88,84,29.98,29.86,29.71,7,5,1,9,6,,0.00,6,Snow
2007-1-28,8,6,3,7,2,1,92,90,85,29.77,29.71,29.65,7,5,1,11,5,,0.00,8,Snow
2007-1-29,26,17,8,27,16,7,100,91,85,29.62,29.22,28.77,7,3,0,31,11,38,0.00,8,Snow
2007-1-30,19,14,10,19,11,5,100,88,73,29.71,29.45,28.94,7,2,0,36,27,47,0.00,8,Snow
2007-1-31,24,19,14,21,17,10,100,84,73,29.86,29.80,29.74,7,6,1,20,7,27,0.00,8,Snow
2007-2-1,24,18,12,21,15,10,100,90,79,29.80,29.68,29.36,7,4,1,13,12,,0.00,8,Snow
2007-2-2,14,7,0,14,4,-4,100,88,78,29.77,29.52,29.33,7,3,1,20,12,27,0.00,8,Snow
2007-2-3,-2,-6,-9,-6,-10,-15,85,80,60,30.04,29.95,29.80,7,6,3,13,11,,0.00,7,Snow
2007-2-4,12,4,-4,3,-4,-8,92,81,67,30.06,29.88,29.71,7,7,7,16,6,,0.00,8,Snow
2007-2-5,10,8,5,7,3,3,92,86,79,29.71,29.70,29.65,7,4,1,18,16,,0.00,8,Snow
2007-2-6,10,5,0,9,0,-2,100,95,92,29.77,29.71,29.71,5,2,1,9,0,,0.00,8,Snow
2007-2-7,26,17,8,25,14,7,100,94,86,29.77,29.63,29.53,7,4,1,20,9,16,0.00,8,Snow
2007-2-8,24,17,10,21,13,7,100,87,79,29.92,29.79,29.59,7,4,0,22,17,25,0.00,8,Snow
2007-2-9,15,5,-5,14,2,-8,100,92,85,30.21,30.03,29.80,7,5,0,13,7,,0.00,6,Snow
2007-2-10,6,-4,-13,3,-8,-15,92,87,78,30.24,30.17,30.01,7,5,1,11,8,,0.00,6,Snow
2007-2-11,21,13,5,21,12,1,100,91,79,29.98,29.68,29.53,7,2,0,20,13,25,0.00,8,Snow
2007-2-12,12,4,-5,5,-4,-8,92,82,73,30.15,30.04,29.83,7,7,7,20,10,,0.00,4,Snow
2007-2-13,12,6,-2,7,2,-4,100,88,79,30.36,30.26,30.15,7,6,3,13,11,,0.00,7,Snow
2007-2-14,14,5,-4,12,1,-8,93,87,79,30.39,30.28,30.04,7,4,1,16,1,16,0.00,3,Snow
2007-2-15,21,16,8,21,16,9,100,95,86,30.04,29.96,29.92,7,3,1,13,10,16,0.00,8,Snow
2007-2-16,6,3,-2,7,3,-8,100,82,67,30.39,30.23,30.04,7,6,2,18,7,25,0.00,7,Snow
