date,time,db_id,C,Ch,Cl,Cm,dd,ff,h,N,P,P0,RH,T,Td,VV,ww
2009-01-01,00:00,3,,,7,,0,0,450,10,993.2,1012.9,83,-2.3,-4.5,,71
2009-01-01,06:00,3,,,7,2,290,1,450,4,987.7,1007.4,86,-3.7,-5.5,4,71
2009-01-01,09:00,3,,,7,,250,2,250,10,986,1005.7,87,-4.3,-5.9,4,71
2009-01-01,12:00,3,,,9,,220,2,250,10,984.2,1003.9,85,-3.9,-5.8,4,85
2009-01-01,15:00,3,,0,4,0,250,2,800,3,984.8,1004.5,65,-4.1,-9.1,,27
2009-01-01,18:00,3,,0,4,0,280,2,800,4,985.6,1005.5,72,-6.6,-10.3,,26
2009-01-01,21:00,3,,0,4,0,260,1,800,4,986.6,1006.6,79,-8.2,-10.9,,26
2009-01-02,00:00,3,,0,3,0,300,1,800,9,987.4,1007.4,82,-8.3,-10.6,,85
2009-01-02,06:00,3,,0,5,0,260,1,1250,9,989,1009.3,83,-11.2,-13.2,10,3
2009-01-02,09:00,3,,,,,290,2,3000,,989.6,1009.9,72,-10.9,-14.5,10,
2009-01-02,12:00,3,,0,5,3,270,1,800,3,988.9,1009.1,67,-10.1,-14.5,10,
2009-01-02,15:00,3,,,5,,280,2,800,10,989.3,1009.5,67,-10.2,-14.6,,
2009-01-02,18:00,3,,,5,1,280,1,800,8,989.3,1009.6,78,-10.9,-13.7,,71
2009-01-02,21:00,3,,0,5,0,280,1,800,8,989.4,1009.7,78,-11.2,-14,,22
2009-01-03,00:00,3,,,7,2,230,2,450,10,989.9,1010.3,83,-12.5,-14.5,,71
2009-01-03,06:00,3,,,5,,250,1,800,10,989.9,1010.4,83,-12.7,-14.7,10,2
2009-01-03,09:00,3,,,7,,190,1,450,10,990.1,1010.5,83,-12.4,-14.4,4,71
2009-01-03,12:00,3,,,7,,230,1,450,10,988.9,1009.2,78,-11.5,-14.3,4,71
2009-01-03,15:00,3,,0,5,0,250,2,800,9,988.5,1008.9,78,-12.5,-15.2,,2
2009-01-03,18:00,3,,,5,,220,1,800,10,987.3,1007.6,78,-11.8,-14.5,,71
2009-01-03,21:00,3,,,5,,240,1,800,10,986.5,1006.8,78,-12,-14.7,,2
2009-01-04,00:00,3,,,5,,220,1,800,10,985.9,1006.2,83,-11.8,-13.8,,2
2009-01-04,06:00,3,,,7,,350,1,450,10,986.5,1006.8,89,-12.1,-13.4,4,71
2009-01-04,09:00,3,,0,5,0,270,1,800,9,987.8,1008.2,83,-12.2,-14.2,10,22
2009-01-04,12:00,3,,0,5,0,0,0,800,3,988.1,1008.5,78,-12.1,-14.8,10,2
2009-01-04,15:00,3,,,,,250,1,3000,,988.9,1009.4,89,-13.9,-15.2,,10
2009-01-04,18:00,3,,0,5,0,0,0,800,1,989.6,1010.2,89,-14.8,-16.1,,10
2009-01-04,21:00,3,,0,5,0,0,0,800,9,990.7,1011.2,89,-13.5,-14.8,,22
